playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
addybo01,1871,1,RC1,NA,25,118,30,32,6,0,0,13,8,1,4,0,,,,,
allisar01,1871,1,CL1,NA,29,137,28,40,4,5,0,19,3,1,2,5,,,,,
allisdo01,1871,1,WS3,NA,27,133,28,44,10,2,2,27,1,1,0,2,,,,,
ansonca01,1871,1,RC1,NA,25,120,29,39,11,3,0,16,6,2,2,1,,,,,
armstbo01,1871,1,FW1,NA,12,49,9,11,2,1,0,5,0,1,0,1,,,,,
barkeal01,1871,1,RC1,NA,1,4,0,1,0,0,0,2,0,0,1,0,,,,,
barnero01,1871,1,BS1,NA,31,157,66,63,10,9,0,34,11,6,13,1,,,,,
barrebi01,1871,1,FW1,NA,1,5,1,1,1,0,0,1,0,0,0,0,,,,,
barrofr01,1871,1,BS1,NA,18,86,13,13,2,1,0,11,1,0,0,0,,,,,
bassjo01,1871,1,CL1,NA,22,89,18,27,1,10,3,18,0,1,3,4,,,,,
battijo01,1871,1,CL1,NA,1,3,0,0,0,0,0,0,0,0,1,0,,,,,
bealsto01,1871,1,WS3,NA,10,36,6,7,0,0,0,1,2,0,2,0,,,,,
beaveed01,1871,1,TRO,NA,3,15,7,6,0,0,0,5,2,0,0,0,,,,,
bechtge01,1871,1,PH1,NA,20,94,24,33,9,1,1,21,4,0,2,2,,,,,
bellast01,1871,1,TRO,NA,29,128,26,32,3,3,0,23,4,4,9,2,,,,,
berkena01,1871,1,PH1,NA,1,4,0,0,0,0,0,0,0,0,0,3,,,,,
berryto01,1871,1,PH1,NA,1,4,0,1,0,0,0,0,0,0,0,0,,,,,
berthha01,1871,1,WS3,NA,17,73,17,17,1,1,0,8,3,1,4,2,,,,,
biermch01,1871,1,FW1,NA,1,2,0,0,0,0,0,0,0,0,1,0,,,,,
birdge01,1871,1,RC1,NA,25,106,19,28,2,5,0,13,1,0,3,2,,,,,
birdsda01,1871,1,BS1,NA,29,152,51,46,3,3,0,24,6,0,4,4,,,,,
brainas01,1871,1,WS3,NA,30,134,24,30,4,0,0,21,4,0,7,2,,,,,
brannmi01,1871,1,CH1,NA,3,14,2,1,0,0,0,0,0,0,0,0,,,,,
burrohe01,1871,1,WS3,NA,12,63,11,15,2,3,1,14,0,0,1,1,,,,,
careyto01,1871,1,FW1,NA,19,87,16,20,2,0,0,10,5,0,2,1,,,,,
carleji01,1871,1,CL1,NA,29,127,31,32,8,1,0,18,2,1,8,3,,,,,
conefr01,1871,1,BS1,NA,19,77,17,20,3,1,0,16,12,1,8,2,,,,,
connone01,1871,1,TRO,NA,7,33,6,7,0,0,0,2,0,0,0,0,,,,,
cravebi01,1871,1,TRO,NA,27,118,26,38,8,1,0,26,6,3,3,0,,,,,
cuthbne01,1871,1,PH1,NA,28,150,47,37,7,5,3,30,16,2,10,2,,,,,
deaneha01,1871,1,FW1,NA,6,22,3,4,0,1,0,2,0,0,2,0,,,,,
donnepe01,1871,1,FW1,NA,9,34,7,7,1,1,0,3,0,0,1,2,,,,,
duffyed01,1871,1,CH1,NA,26,121,30,28,5,0,0,15,11,4,3,2,,,,,
eggleda01,1871,1,NY2,NA,33,147,37,47,7,3,0,18,14,3,4,3,,,,,
ewellge01,1871,1,CL1,NA,1,3,0,0,0,0,0,0,0,0,0,0,,,,,
fergubo01,1871,1,NY2,NA,33,158,30,38,6,1,0,25,4,4,3,2,,,,,
fishech01,1871,1,RC1,NA,25,123,24,28,3,3,1,22,1,2,3,1,,,,,
fislewe01,1871,1,PH1,NA,28,147,43,41,8,2,0,16,6,3,3,2,,,,,
fleetfr01,1871,1,NY2,NA,1,6,1,2,0,0,0,1,0,0,0,0,,,,,
flowedi01,1871,1,TRO,NA,21,105,39,33,5,4,0,18,8,2,4,0,,,,,
flynncl01,1871,1,TRO,NA,29,142,43,48,6,1,0,27,3,3,4,2,,,,,
foleyto01,1871,1,CH1,NA,18,84,18,22,3,1,0,13,1,4,3,2,,,,,
foranji01,1871,1,FW1,NA,19,89,21,31,1,3,1,18,1,0,2,1,,,,,
forceda01,1871,1,WS3,NA,32,162,45,45,9,4,0,29,8,0,4,0,,,,,
fulmech01,1871,1,RC1,NA,16,63,11,17,1,3,0,3,0,0,5,1,,,,,
glennjo01,1871,1,WS3,NA,26,120,25,37,3,2,0,21,1,1,3,1,,,,,
goldswa01,1871,1,FW1,NA,19,88,8,18,1,0,0,12,0,0,4,2,,,,,
gouldch01,1871,1,BS1,NA,31,151,38,43,9,2,2,32,6,2,3,1,,,,,
hallge01,1871,1,WS3,NA,32,136,31,40,3,3,2,17,2,1,8,0,,,,,
halliji01,1871,1,FW1,NA,5,25,7,5,0,0,0,2,1,1,2,0,,,,,
hamra01,1871,1,RC1,NA,25,113,25,28,4,0,0,12,6,2,1,7,,,,,
hastisc01,1871,1,RC1,NA,25,118,27,30,6,4,0,20,11,2,2,4,,,,,
hatfijo01,1871,1,NY2,NA,33,168,41,43,3,2,0,22,10,3,4,0,,,,,
heubege01,1871,1,PH1,NA,17,75,18,23,4,2,0,13,1,0,2,0,,,,,
highadi01,1871,1,NY2,NA,21,94,21,34,3,1,0,9,3,2,2,0,,,,,
hodesch01,1871,1,CH1,NA,28,130,32,36,4,1,2,25,3,0,7,0,,,,,
jackssa01,1871,1,BS1,NA,16,76,17,17,5,3,0,11,0,1,1,4,,,,,
johnsca01,1871,1,CL1,NA,16,67,10,15,1,0,0,7,1,0,0,1,,,,,
kellybi01,1871,1,FW1,NA,18,67,16,15,1,1,0,7,0,0,6,1,,,,,
kimbage01,1871,1,CL1,NA,29,131,18,25,1,0,0,9,5,1,3,2,,,,,
kingma01,1871,1,CH1,NA,20,101,23,21,1,0,2,16,5,0,8,1,,,,,
kingst01,1871,1,TRO,NA,29,144,45,57,10,6,0,34,3,3,1,1,,,,,
kohlehe01,1871,1,FW1,NA,3,12,0,2,1,0,0,1,0,0,0,0,,,,,
lennobi01,1871,1,FW1,NA,12,48,5,11,3,0,0,5,1,0,1,0,,,,,
leonaan01,1871,1,WS3,NA,31,148,33,43,8,3,0,30,14,3,3,1,,,,,
mackde01,1871,1,RC1,NA,25,122,34,30,7,1,0,17,12,0,8,7,,,,,
malonfe01,1871,1,PH1,NA,27,134,33,46,7,1,1,33,9,3,9,4,,,,,
mathebo01,1871,1,FW1,NA,19,89,15,24,3,1,0,10,2,1,2,0,,,,,
mcatebu01,1871,1,CH1,NA,26,135,34,37,8,2,0,10,5,3,5,2,,,,,
mcbridi01,1871,1,PH1,NA,25,132,36,31,3,0,0,17,4,0,7,1,,,,,
mcderjo01,1871,1,FW1,NA,2,8,3,2,0,0,0,1,1,0,1,1,,,,,
mcgeami01,1871,1,TRO,NA,29,148,42,39,4,0,0,12,20,4,6,0,,,,,
mcmuljo01,1871,1,TRO,NA,29,136,38,38,0,5,0,32,11,1,8,6,,,,,
mcveyca01,1871,1,BS1,NA,29,153,43,66,9,5,0,43,6,0,1,2,,,,,
meyerle01,1871,1,PH1,NA,26,130,45,64,9,3,4,40,4,0,2,1,,,,,
millsch01,1871,1,NY2,NA,32,146,27,36,4,3,0,22,2,0,1,0,,,,,
millsev01,1871,1,WS3,NA,32,157,38,43,6,4,1,24,2,3,3,1,,,,,
minched01,1871,1,FW1,NA,9,36,4,8,0,0,0,5,1,0,0,0,,,,,
nortofr01,1871,1,WS3,NA,1,1,0,0,0,0,0,0,0,0,0,1,,,,,
paborch01,1871,1,CL1,NA,29,142,24,42,2,4,0,18,1,0,1,3,,,,,
patteda01,1871,1,NY2,NA,32,151,31,31,2,0,0,13,2,1,1,0,,,,,
pearcdi01,1871,1,NY2,NA,33,163,31,44,5,0,0,20,0,0,4,1,,,,,
phelpne01,1871,1,FW1,NA,1,3,0,0,0,0,0,0,0,0,1,0,,,,,
pikeli01,1871,1,TRO,NA,28,130,43,49,10,7,4,39,3,2,5,7,,,,,
pinkhed01,1871,1,CH1,NA,24,95,27,25,5,5,1,17,5,2,18,3,,,,,
prattal01,1871,1,CL1,NA,29,130,31,34,6,8,0,20,1,0,1,0,,,,,
prattto01,1871,1,PH1,NA,1,6,2,2,0,0,0,1,0,0,0,0,,,,,
questjo01,1871,1,CL1,NA,3,13,1,3,1,0,0,2,0,0,1,0,,,,,
quinnpa02,1871,1,FW1,NA,5,17,8,4,0,0,0,2,3,1,4,0,,,,,
radcljo01,1871,1,PH1,NA,28,145,47,44,7,5,0,22,5,1,6,1,,,,,
reachal01,1871,1,PH1,NA,26,133,43,47,7,6,0,34,2,0,5,6,,,,,
sagerpo01,1871,1,RC1,NA,8,39,9,11,0,0,0,5,5,1,2,2,,,,,
schafha01,1871,1,BS1,NA,31,149,38,42,7,5,0,28,13,4,3,1,,,,,
selmafr01,1871,1,FW1,NA,14,65,14,15,3,0,1,10,1,0,4,0,,,,,
senseco01,1871,1,PH1,NA,25,127,38,41,5,2,0,23,5,3,0,1,,,,,
simmojo01,1871,1,CH1,NA,27,129,29,28,6,1,0,17,4,1,1,0,,,,,
smithch01,1871,1,NY2,NA,14,72,15,19,2,1,0,5,6,0,1,1,,,,,
spaldal01,1871,1,BS1,NA,31,144,43,39,10,1,1,31,2,0,8,1,,,,,
startjo01,1871,1,NY2,NA,33,161,35,58,5,1,1,34,4,2,3,0,,,,,
stearbi01,1871,1,WS3,NA,2,9,1,0,0,0,0,1,0,0,2,2,,,,,
stirega01,1871,1,RC1,NA,25,110,23,30,4,6,2,24,3,0,7,5,,,,,
suttoez01,1871,1,CL1,NA,29,128,35,45,3,7,3,23,3,1,1,0,,,,,
sweasch01,1871,1,WS3,NA,5,19,5,4,1,0,0,4,0,0,1,0,,,,,
treacfr01,1871,1,CH1,NA,25,124,39,42,7,5,4,33,13,5,2,5,,,,,
waterfr01,1871,1,WS3,NA,32,158,46,50,7,4,0,17,11,3,10,0,,,,,
whitede01,1871,1,CL1,NA,29,146,40,47,6,5,1,21,2,2,4,1,,,,,
whiteel01,1871,1,CL1,NA,15,70,13,18,2,0,0,9,0,1,1,6,,,,,
whitewa01,1871,1,WS3,NA,1,4,0,0,0,0,0,0,0,0,0,0,,,,,
woltery01,1871,1,NY2,NA,32,138,33,51,6,9,0,44,1,0,10,8,,,,,
woodji01,1871,1,CH1,NA,28,135,45,51,10,6,1,29,18,2,11,3,,,,,
wrighge01,1871,1,BS1,NA,16,80,33,33,7,5,0,11,9,1,6,1,,,,,
wrighha01,1871,1,BS1,NA,31,147,42,44,5,2,0,26,7,1,13,2,,,,,
yorkto01,1871,1,TRO,NA,29,145,36,37,5,7,2,23,2,2,9,1,,,,,
zettlge01,1871,1,CH1,NA,28,128,23,32,3,0,0,18,4,0,2,4,,,,,
allenha01,1872,1,MID,NA,16,66,8,18,1,0,0,7,0,0,0,1,,,,,
allisan01,1872,1,BR1,NA,24,93,11,15,3,0,0,9,0,0,0,3,,,,,
allisar01,1872,1,CL1,NA,19,87,13,23,4,0,0,8,0,0,0,2,,,,,
allisbi01,1872,1,BR1,NA,5,19,5,3,0,0,0,1,0,0,0,1,,,,,
allisdo01,1872,1,TRO,NA,23,115,23,35,4,2,0,20,1,1,1,3,,,,,
allisdo01,1872,2,BR1,NA,18,79,18,27,2,1,0,5,0,0,1,2,,,,,
ansonca01,1872,1,PH1,NA,46,217,60,90,10,7,0,50,6,6,16,3,,,,,
arnolbi01,1872,1,MID,NA,2,7,2,1,0,0,0,0,0,0,0,0,,,,,
barloto01,1872,1,BR2,NA,37,171,34,53,1,0,0,10,7,5,3,2,,,,,
barnero01,1872,1,BS1,NA,45,229,81,99,28,2,1,44,12,2,9,4,,,,,
barre01,1872,1,BR2,NA,8,34,7,7,1,0,0,2,1,0,0,1,,,,,
barrebi01,1872,1,WS3,NA,1,4,0,0,0,0,0,0,0,0,0,0,,,,,
bassjo01,1872,1,BR2,NA,2,7,0,1,1,0,0,1,0,0,0,0,,,,,
bealsto01,1872,1,WS3,NA,9,36,6,11,1,1,0,5,0,0,1,1,,,,,
beaveed01,1872,1,BR2,NA,10,43,6,9,2,0,0,2,0,0,1,0,,,,,
bechtge01,1872,1,NY2,NA,51,248,60,74,11,2,0,41,9,1,6,3,,,,,
bellast01,1872,1,TRO,NA,23,114,22,30,4,0,0,16,1,0,0,0,,,,,
bentlcy01,1872,1,MID,NA,23,115,25,27,1,2,0,10,1,2,0,2,,,,,
besti01,1872,1,BR1,NA,4,14,0,4,0,0,0,1,0,0,0,0,,,,,
bielaos01,1872,1,WS4,NA,10,46,13,9,0,0,0,3,0,0,0,0,,,,,
birdsda01,1872,1,BS1,NA,16,76,11,16,3,0,0,15,0,2,1,0,,,,,
boothed01,1872,1,MID,NA,24,117,25,38,4,2,0,12,0,0,0,1,,,,,
boothed01,1872,2,BR2,NA,15,62,11,19,4,0,0,8,0,2,0,0,,,,,
boydbi01,1872,1,NY2,NA,35,165,26,44,6,1,1,32,4,2,6,7,,,,,
brainas01,1872,1,WS3,NA,9,43,8,16,3,0,0,6,0,0,0,0,,,,,
brainas01,1872,2,MID,NA,6,25,2,5,0,0,0,0,0,0,1,0,,,,,
brittji01,1872,1,BR2,NA,37,156,26,40,7,0,0,10,0,0,5,5,,,,,
brownol01,1872,1,BR2,NA,4,15,0,2,0,0,0,0,0,0,0,1,,,,,
burdoja01,1872,1,BR2,NA,37,174,26,46,3,0,0,15,0,1,1,1,,,,,
burrohe01,1872,1,WS3,NA,2,7,1,1,0,0,0,0,0,0,1,0,,,,,
buttefr01,1872,1,MID,NA,18,93,19,24,0,0,0,8,0,0,0,2,,,,,
careyto01,1872,1,BL1,NA,42,198,42,57,7,0,2,27,4,1,0,2,,,,,
carleji01,1872,1,CL1,NA,7,38,8,12,1,0,0,4,1,0,1,0,,,,,
clappjo01,1872,1,MID,NA,19,97,28,28,6,1,1,10,2,1,1,0,,,,,
clarede01,1872,1,BR2,NA,2,7,1,1,0,0,0,0,0,0,0,0,,,,,
clintji01,1872,1,BR1,NA,25,97,12,25,3,1,0,6,0,1,0,2,,,,,
coughde01,1872,1,WS4,NA,8,37,5,12,1,0,0,7,0,0,0,0,,,,,
cravebi01,1872,1,BL1,NA,35,179,55,50,3,2,0,23,7,1,5,2,,,,,
cummica01,1872,1,NY2,NA,55,250,36,52,9,3,0,27,0,1,4,14,,,,,
cuthbne01,1872,1,PH1,NA,47,260,83,88,10,0,1,47,14,4,6,10,,,,,
dehlmhe01,1872,1,BR2,NA,37,165,30,36,3,1,0,14,4,2,3,1,,,,,
doschhe01,1872,1,BR2,NA,6,25,4,9,0,0,0,5,0,0,0,1,,,,,
doylejo01,1872,1,WS4,NA,9,41,6,12,1,0,0,9,0,0,0,0,,,,,
eggleda01,1872,1,NY2,NA,56,290,94,98,20,0,0,20,18,5,8,9,,,,,
fergubo01,1872,1,BR2,NA,37,165,33,46,5,0,0,19,4,2,3,0,,,,,
fieldge01,1872,1,MID,NA,18,87,16,21,3,1,0,9,0,0,0,2,,,,,
fishech01,1872,1,BL1,NA,46,225,39,52,10,3,1,36,0,1,2,5,,,,,
fislewe01,1872,1,PH1,NA,47,243,49,85,13,3,0,48,3,0,4,4,,,,,
fleetfr01,1872,1,BR1,NA,13,53,10,13,1,0,0,5,1,0,0,1,,,,,
fletcge01,1872,1,BR1,NA,2,8,1,3,0,0,0,0,0,0,0,0,,,,,
flowedi01,1872,1,PH1,NA,3,15,1,4,0,0,0,4,0,0,2,2,,,,,
flynncl01,1872,1,WS3,NA,9,40,4,9,1,0,0,2,0,0,0,0,,,,,
forceda01,1872,1,TRO,NA,25,130,40,53,11,0,0,16,2,2,1,0,,,,,
forceda01,1872,2,BL1,NA,19,95,29,41,2,2,0,13,3,0,1,0,,,,,
fulmech01,1872,1,NY2,NA,36,166,28,51,1,1,1,14,1,1,2,3,,,,,
galvijo01,1872,1,BR2,NA,1,4,0,0,0,0,0,0,0,0,0,0,,,,,
gedneco01,1872,1,TRO,NA,9,47,14,20,3,0,3,18,1,0,0,0,,,,,
gedneco01,1872,2,BR1,NA,18,71,4,13,1,0,0,7,2,1,0,1,,,,,
glennjo01,1872,1,WS3,NA,9,39,6,6,0,0,0,3,0,1,1,0,,,,,
glennjo01,1872,2,WS4,NA,1,4,0,2,0,0,0,0,0,0,0,0,,,,,
goldswa01,1872,1,WS3,NA,9,41,4,10,2,0,0,5,0,0,0,0,,,,,
gouldch01,1872,1,BS1,NA,45,211,40,54,9,8,0,33,0,0,2,3,,,,,
hallge01,1872,1,BL1,NA,53,250,69,84,17,6,1,37,6,1,3,1,,,,,
hallji01,1872,1,BR2,NA,13,57,9,18,0,1,0,6,0,0,1,0,,,,,
hastisc01,1872,1,CL1,NA,22,115,34,45,4,0,0,16,5,1,3,2,,,,,
hastisc01,1872,2,BL1,NA,13,62,16,19,3,1,0,4,0,1,1,2,,,,,
hatfijo01,1872,1,NY2,NA,56,288,76,92,15,1,1,45,12,5,9,6,,,,,
heubege01,1872,1,WS3,NA,5,23,2,3,0,0,0,1,0,0,0,0,,,,,
hicksna01,1872,1,NY2,NA,56,268,55,82,12,2,0,33,3,0,5,3,,,,,
higby01,1872,1,BR2,NA,1,4,0,0,0,0,0,0,0,0,0,0,,,,,
